,_entropy_hour,_label,_rate,_total,cnt_app,cnt_device,ratio_inapp_detected,ratio_kid_back_home,ratio_net_limit,ratio_web_filtered,scaled_cat_0,scaled_cat_1,scaled_inapp_detected,scaled_kid_back_home,scaled_net_limit,scaled_web_filtered
49d747f2a8ca050c2a17bfd877fcde34,0.173205206749,0,0.898624970641,-0.43749769859,1,1,0.0,0.0,0.0,1.0,-0.096981934357,-0.153416085375,-0.256133269606,-0.390372723381,-0.344412232047,-0.111230350942
e57eef3eb6de63dfb5a388122a576239,2.80967823408,1,0.978210117608,-0.355138484433,2,2,0.0106382978723,0.124113475177,0.702127659574,0.163120567376,0.0123116215977,-0.0205149416489,-0.254807813517,-0.302034707177,-0.248981626462,-0.00198366647364
d94971401cd395f6c34ce4ca582ea8eb,1.61541946658,1,0.998672935445,-0.418187900599,1,1,0.0,1.0,0.0,0.0,-0.096981934357,-0.2863172291,-0.256133269606,-0.222530492593,-0.344412232047,-0.112430863958
b65ff9a09d4ad995eb34f6b350fc0ecc,3.17805383035,1,0.999208000039,0.0516838505031,3,11,0.566816143498,0.387742899851,0.0301943198804,0.0152466367713,-0.0362632921599,-0.153416085375,0.162710854526,1.24640451971,-0.320072607895,-0.0512047001351
9440b8736833fdfea8cd37ce414105d7,2.98296502922,1,0.999273959959,-0.0755852726161,5,8,0.34101010101,0.0,0.65696969697,0.0020202020202,-0.0909100701373,-0.2863172291,-0.0696857797498,-0.390372723381,0.0474316181571,-0.106428298877
941ab691a7c7ebde285ef213af85d896,3.06252930025,1,0.998661259388,-0.315348597665,7,10,0.181818181818,0.247607655502,0.531100478469,0.0394736842105,-0.0569076305069,-0.2863172291,-0.222555048684,-0.129144589749,-0.237414280331,-0.0728139344255
c12baeef47c104330f99c0d8d6beb0b2,3.1202915653,1,0.999495926275,0.343086256541,1,13,0.0,0.321528948848,0.677159452876,0.00131159827619,-0.0884813244494,-0.2863172291,-0.256133269606,1.77517064528,0.526512537103,-0.104027272845
5c0c67e066da51776a064224049a1664,2.86744049912,1,0.999355235053,-0.285798755285,3,6,0.309248554913,0.0,0.578034682081,0.112716763006,0.0438853155402,-0.153416085375,-0.185221368843,-0.390372723381,-0.199820405403,0.0280291589297
25a38d2ef482583a9b8dfbc8295a9c08,3.17805383035,0,0.997568978776,0.710557563755,7,4,0.512294559817,0.18626576634,0.297490126131,0.00394954771308,-0.0629794947266,0.112386202077,0.632143219388,1.45462984362,0.218290959974,-0.0752149604578
97fc8f23d081eb5efb96a6606c8a4bde,1.82616743081,1,0.823727473086,-0.424039354536,1,5,0.0,0.010752688172,0.956989247312,0.0322580645161,-0.096981934357,0.112386202077,-0.256133269606,-0.389110751721,-0.322964444428,-0.10882932491
98ff7190b1e41b8d5e12dc1661c67ad5,1.4298983731,1,0.998083109957,-0.427696513246,1,3,0.0,0.0,0.852941176471,0.147058823529,-0.0909100701373,0.245287345802,-0.256133269606,-0.390372723381,-0.330435022138,-0.100425733797
3c3761e47a54fb42b2493309ada169ed,2.92520276417,0,0.988390019584,-0.243814573291,6,11,0.495849056604,0.0,0.498113207547,0.00603773584906,-0.0945531886691,0.511089633254,-0.110995827858,-0.390372723381,-0.185361222739,-0.102826759829
eab7ed3ad4710be01b5244d95b486f36,2.61458943295,1,0.881402976847,-0.381908886193,3,3,0.0971128608924,0.53280839895,0.370078740157,0.0,-0.096981934357,-0.2863172291,-0.247959623723,-0.134192476389,-0.310433152786,-0.112430863958
9d0eb669697cf1630751bf79963dc7fc,2.18080781871,0,0.923209031726,-0.412775305708,2,8,0.0647058823529,0.923529411765,0.0,0.0117647058824,-0.096981934357,-0.0205149416489,-0.253703266776,-0.192243172752,-0.344412232047,-0.110029837926
e425aea7600fa33157b4878d2af65216,3.1202915653,1,0.998175933332,0.107565235597,4,8,0.00321974778642,0.0,0.996780252214,0.0,-0.096981934357,-0.2863172291,-0.253482357428,-0.390372723381,0.550852161255,-0.112430863958
f6f5396cf4dfe01b682c9ae2b0a7923b,2.55394294002,1,0.998628078716,-0.382055172541,7,3,0.2,0.0,0.792105263158,0.00789473684211,-0.096981934357,0.112386202077,-0.239344159145,-0.390372723381,-0.271875332348,-0.10882932491
7e0302694a2c83fb2215c5ca2f6499dc,2.69415370398,1,0.965486997469,-0.361428797415,1,3,0.0,0.335892514395,0.644913627639,0.0191938579655,-0.0860525787615,-0.153416085375,-0.256133269606,-0.169527682871,-0.263440809127,-0.100425733797
06b427fd407a6af2c66e77e19d4ec630,2.94700477016,1,0.99515708946,-0.197880659889,1,3,0.0,0.749847467968,0.249542403905,0.000610128126907,-0.096981934357,-0.153416085375,-0.256133269606,1.16059044683,-0.245848803552,-0.111230350942
8911b84084cc0f8ddd9d673bf2e94a1e,3.17805383035,1,0.999639146263,1.43701556997,7,5,0.420912992587,0.110495513071,0.461724541553,0.0068669527897,-0.00468959821747,1.17559535188,0.935451754427,1.39657914726,1.08150416504,-0.00678571853818
724aaa7c29b3951209892865163fc73b,2.83148024007,1,0.974184599066,-0.282434169272,3,4,0.0131950989632,0.127238454288,0.859566446748,0.0,-0.096981934357,-0.2863172291,-0.253040538731,-0.220006549273,-0.124632655549,-0.112430863958
8dc1267319bf7200293c5ddfc6fd322c,3.00476703521,1,0.999686166405,0.000483628558578,8,19,0.0831385642738,0.101168614357,0.804674457429,0.0110183639399,-0.0957675615131,-0.0205149416489,-0.201126841911,-0.00799531038318,0.236364938305,-0.0728139344255
4ddd2c3ee1661a238c294c4fc4457bad,3.17805383035,1,0.974444363747,0.969776973142,11,23,0.225340401206,0.191768007484,0.575719779649,0.00717181166199,-0.0192620723448,0.378188489528,0.222798197228,1.93796498943,0.990411314251,-0.0295954658447
a62c0be1e2f7fe87131569e494425aef,1.8479694368,1,0.981575317355,-0.357917925053,1,4,0.0,0.0,0.990825688073,0.00733944954128,-0.096981934357,0.378188489528,-0.256133269606,-0.390372723381,-0.214279588068,-0.107628811893
bee5a572e4a0cac22ee8db4ce34426db,1.58084145636,1,0.996758547543,-0.411458728572,1,1,0.0,0.0,0.994413407821,0.00558659217877,-0.0957675615131,-0.2863172291,-0.256133269606,-0.390372723381,-0.301516656809,-0.111230350942
8290b770d97ca99e24235f7ae3e55189,3.06252930025,1,0.998930200804,-0.0420856988296,7,5,0.281065088757,0.241863905325,0.453032544379,0.0240384615385,-0.0775519688539,0.245287345802,-0.0882421649961,0.434956742297,-0.0492039193164,-0.0343975179093
7c540a243bc494e90641ea6aad8c82d1,1.01027501193,1,0.986223859976,-0.423161636445,4,2,0.585858585859,0.0,0.414141414141,0.0,-0.096981934357,-0.2863172291,-0.243320527412,-0.390372723381,-0.33453179056,-0.112430863958
fd1ea6604543dcae51897636a0a1109c,1.27189908381,1,0.997076543034,-0.432523962743,1,4,0.0,0.942857142857,0.0,0.0571428571429,-0.0957675615131,-0.153416085375,-0.256133269606,-0.348727658599,-0.344412232047,-0.110029837926
6a093b7ee05c7e28f9c0a47b8671030e,1.76231371031,1,0.998377920457,-0.362013942808,1,2,0.0,0.0,0.998065764023,0.00193423597679,-0.0957675615131,-0.2863172291,-0.256133269606,-0.390372723381,-0.220063261134,-0.111230350942
859a94b3363ef7e0e092af32c09ce3a4,0.173205206749,1,0.998660313901,-0.43749769859,1,1,0.0,0.0,0.0,1.0,-0.096981934357,-0.153416085375,-0.256133269606,-0.390372723381,-0.344412232047,-0.111230350942
67a3b2562bcae7b63690d006b18c75c2,3.00476703521,1,0.993153817496,-0.231087660979,3,2,0.929886685552,0.0311614730878,0.0339943342776,0.00495750708215,-0.0884813244494,-0.2863172291,0.0339207045423,-0.334845970338,-0.332844885916,-0.104027272845
cee7b951c2d7cc429a1263f7e68e711e,3.1202915653,1,0.999426095137,-0.0982596566201,1,11,0.0,0.174568965517,0.825431034483,0.0,-0.096981934357,-0.2863172291,-0.256133269606,0.120725798943,0.117076681324,-0.112430863958
4671dd326372e63a1a68d07ee3fd32fc,1.79063021645,1,0.999696284094,-0.383518036025,3,1,0.0513513513514,0.0,0.948648648649,0.0,-0.096981934357,-0.2863172291,-0.251935991991,-0.390372723381,-0.259826013461,-0.112430863958
dc927939d365e58e5772efa591220c00,1.96579230876,0,0.957034092586,-0.389808349007,1,1,0.0,0.0,1.0,0.0,-0.096981934357,-0.2863172291,-0.256133269606,-0.390372723381,-0.265609686526,-0.112430863958
