,_entropy_hour,_label,_rate,_total,cnt_app,cnt_device,ratio_inapp_detected,ratio_kid_back_home,ratio_net_limit,ratio_web_filtered,scaled_inapp_detected,scaled_kid_back_home,scaled_net_limit,scaled_web_filtered
1cbdecfe62c2393a3606496cf34e96de,2.30397610172,1,0.999007623553,-0.330116637699,3,4,0.0199146514936,0.0,0.957325746799,0.022759601707,-0.250904154105,-0.38606514573,-0.177527090417,-0.095402509006
1dc1fef05aeac32b415dd73e85cac15c,2.10311884484,1,0.991623002053,-0.259018114019,1,6,0.0,0.0,0.9975,0.0025,-0.253918756827,-0.38606514573,-0.0529268903337,-0.11053573366
ac1cfe83820dd48e751000d75e00bbf3,3.17805383035,1,0.999946208271,9.62839750498,20,16,0.88726605609,0.11273394391,0.0,0.0,13.1802276164,9.36689131747,-0.337557500066,-0.114028016272
da887b385548da80b2f6fe06df6c7858,1.19671112943,1,0.998306941051,-0.427823461991,1,1,0.0,1.0,0.0,0.0,-0.253918756827,-0.361458216341,-0.337557500066,-0.114028016272
d562ddff13e2cd59cbbfb266d734289d,2.07901849698,1,0.968279554646,-0.231980647268,1,6,0.0,0.0,0.997120230382,0.00287976961843,-0.253918756827,-0.38606514573,-0.00822300175414,-0.109371639456
87c3b135a59f5f14f12cc1ffa9f14447,2.71595570997,1,0.995267455199,-0.274181984261,1,4,0.0,0.0,0.897623400366,0.102376599634,-0.253918756827,-0.38606514573,-0.104051018231,0.0163505345933
6835974dfe7b8e4fe3c1c7bac8106ba8,2.49906490285,1,0.997171356773,-0.285626414632,2,7,0.00493096646943,0.0108481262327,0.978303747535,0.00591715976331,-0.252842112997,-0.372531334566,-0.101673151817,-0.107043451048
e8043ea02f4b4d7c8e372003fa82ccf1,3.1202915653,1,0.998414057065,0.132953626186,7,5,0.553807106599,0.0611675126904,0.314467005076,0.0705583756345,0.215928610279,-0.0895516465966,-0.0429398513957,0.209590172484
aa0c2ebde8704520ed6de38a7cae7370,2.88924250511,1,0.998356001575,-0.00881425503392,1,4,0.0,0.0518819938962,0.944387928111,0.00373007799254,-0.253918756827,-0.197822135907,0.324678296179,-0.101222980027
95cd1add871de5d2a738afabc78cd837,2.92520276417,1,0.960754530487,0.0346745803757,9,7,0.285889947741,0.0184445127575,0.682754380572,0.0129111589302,-0.0536630045774,-0.312244357564,0.19056663044,-0.0651360596978
6a903ab4fd5c4c6f5d49e46f7169defe,3.1202915653,1,0.997929490561,-0.25458339725,6,7,0.238017871649,0.213647441105,0.545897644192,0.00243704305443,-0.19082742843,-0.0624840242691,-0.177764877059,-0.11053573366
28746668fe8cbdebd99f6ce40b247567,0.860203062805,1,0.990043053277,-0.429110960408,1,1,0.0,0.0,1.0,0.0,-0.253918756827,-0.38606514573,-0.334941847011,-0.114028016272
990ce4e28c83bc1671ae72a9c975ee44,1.65137972564,1,0.983799934156,-0.414233200925,1,2,0.0,1.0,0.0,0.0,-0.253918756827,-0.244575301745,-0.337557500066,-0.114028016272
374a6fc21ba2b6b2179da6d6ccdd0c3b,1.63860372141,1,0.998471910681,-0.314523601318,3,1,0.998768472906,0.0012315270936,0.0,0.0,-0.0792871277146,-0.384834799261,-0.337557500066,-0.114028016272
b8a1405fa8a715c6baa029cdc1cb56a3,3.17805383035,1,0.982389374557,-0.0284128420442,4,10,0.206614509246,0.0981507823613,0.695234708393,0.0,-0.128812743862,-0.0464895201664,0.127315383833,-0.114028016272
3eba65599ee60dd402540029e145ac53,3.17805383035,1,0.99952082573,2.07550262628,11,9,0.559506821166,0.204920372167,0.235401564016,0.000171242650836,1.85673380613,4.03087867953,0.643074608987,-0.11053573366
1a87e2ba9f2e365484a450cb393599df,1.44351492028,0,0.776087825209,-0.421672080666,4,1,1.0,0.0,0.0,0.0,-0.240353044577,-0.38606514573,-0.337557500066,-0.114028016272
dd409b0546aeac7872a09f79438f284f,0.173205206749,1,0.999788384375,-0.430255403445,1,1,0.0,0.0,0.0,1.0,-0.253918756827,-0.38606514573,-0.337557500066,-0.11053573366
