,_entropy_hour,_label,_rate,_total,cnt_firmware_ver,cnt_payload_ip,cnt_profile_id,condition_updated,payload_lastwill,payload_malf_false,payload_malf_true,ratio_offline,ratio_online
acb4da6df555096b5a63efd55844fee7,1.07513932401,0,0.999300459505,-0.162015235125,3,6,2,0,7,22,4,0.346153846154,0.653846153846
3ecb2c62392b1b0853092587bbe1be1d,0.544283732969,1,0.996102373093,-0.189762797828,1,4,2,0,1,5,0,0.4,0.6
ee83994598fed4a5375ad7ae9d44b648,0.456334432293,1,0.982587868881,-0.189762797828,1,3,2,0,3,5,0,0.6,0.4
bbd1c2a9fbe6673bcc98f11977c9ddb7,2.12780507871,1,0.999934789027,-0.0510249843167,9,8,2,62,10,109,1,0.145454545455,0.854545454545
c28753f2e4e52983d46d56fe25e2fd29,1.96579230876,1,0.999299875516,-0.0391331717301,7,3,2,82,10,119,0,0.126050420168,0.873949579832
bf9142825df22f818403feca073075c5,1.82846577267,1,0.999777522575,0.00711276610687,4,4,2,136,5,154,0,0.0519480519481,0.948051948052
2b0ed8f19f23b1c35abd4fda2417231d,1.53585519555,1,0.993085466062,-0.102556172192,2,2,2,59,5,71,0,0.0845070422535,0.915492957746
bac97d2d49de5b4d034d0fe4bd5b359f,0.896541306141,1,0.934740516326,-0.18051361026,2,5,2,0,5,12,0,0.5,0.5
a3dc5053ed1abb91c9d383fe679917bc,1.11714685839,1,0.995533475952,-0.167300485164,6,2,2,0,5,22,0,0.363636363636,0.636363636364
b95a08408ff351ca1814b15035a48846,0.997246011641,1,0.999864709482,-0.173907047712,3,2,2,6,1,17,0,0.176470588235,0.823529411765
28173b93b760b00b165d75c3fb47c973,1.03758258735,1,0.998382103266,-0.164657860145,3,4,2,0,9,24,0,0.458333333333,0.541666666667
821241e1c0f03547db8d7cb932ba6fdf,0.789277373461,1,0.979071932808,-0.18183492277,1,2,1,0,2,11,0,0.181818181818,0.818181818182
a8cd20ae916f2b48d4910cb31bcd5356,1.98571901758,1,0.971447691652,-0.07480860949,1,8,2,53,18,92,0,0.195652173913,0.804347826087
fe3aba6cabe4c1293a167928cfa055d4,1.65330368036,1,0.99847807851,-0.0880217345863,3,2,2,62,6,81,1,0.0853658536585,0.914634146341
6789ba4f82eeedfb372eb5b08ce2df1c,2.57862917389,0,0.959939479468,0.0229685162224,5,2,2,0,61,166,0,0.385542168675,0.614457831325
e41b484950e75e5e734b7cf59c43fc33,1.74660315977,1,0.999236645074,0.0084340786165,2,6,2,137,8,155,0,0.058064516129,0.941935483871
157cdea8bc6251a8ca7384ca090be268,1.53585519555,0,0.972660322374,-0.130303734894,2,2,2,34,7,50,0,0.16,0.84
946a025f65b03a6701853af4e0ac3c12,1.37413483409,1,0.816598757577,-0.154087360068,2,6,2,8,9,31,1,0.3125,0.6875
49d43ef9c21d6099c951aa13bf537f15,2.27808136633,1,0.99739921656,0.190775204945,2,2,2,0,38,293,0,0.133105802048,0.866894197952
7ad45ff34f944dcca816c7b22dabe0cd,2.98296502922,1,0.998072648747,0.88314295999,2,2,2,149,331,815,2,0.406364749082,0.593635250918
