,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
695,3322-88EB-E6F4-FDEB-DDBF_2017-08-20 22:33:17,12641.0,4,4,16,8,1,1,12,0,0,1405,0,5629,431,26,103,154,326,682,662,745,736,704,727,793,353,46,143,203,74,61,99,35,109,139,236,200,109,3244655.0,0,0,6060,410,21,0,0,0,410,0.9961191736949911,1,7465,3322-88EB-E6F4-FDEB-DDBF
697,4F3A-3922-A5F4-DFE8-C767_2017-10-01 00:45:18,88358.0,2,2,1,1,1,1,2,0,0,6,9,0,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,520067.0,0,0,1,1,0,0,0,0,1,0.8547758556929778,0,16,4F3A-3922-A5F4-DFE8-C767
698,67A7-9B72-DF34-BFAF-C72C_2017-09-19 12:07:21,2161.0,10,10,14,6,1,1,1,0,0,7241,1486,0,0,62,143,697,558,982,1296,470,77,20,25,1,0,218,5,13,84,52,326,400,574,628,673,825,598,2400080.0,0,0,0,0,0,0,0,0,0,0.9991004233130648,1,8727,67A7-9B72-DF34-BFAF-C72C
699,2322-DCCD-3A4F-B6B5-5EEA_2017-08-24 13:49:57,29678.0,8,8,23,5,1,1,10,0,0,3701,1491,1339,35,21,0,874,799,473,239,194,159,160,156,158,153,113,143,148,75,57,134,111,128,209,694,467,901,2906743.0,0,12,1362,28,7,0,0,0,28,0.9898931386201092,1,6566,2322-DCCD-3A4F-B6B5-5EEA
700,EC98-FAFC-D348-6CAA-464B_2017-10-19 04:07:25,1904.0,3,3,7,3,1,1,1,0,0,711,137,7,0,45,31,69,56,106,59,50,5,5,2,0,0,52,2,6,17,34,23,52,38,29,63,51,60,1049810.0,0,0,7,0,0,0,0,0,0,0.9981896218934044,1,855,EC98-FAFC-D348-6CAA-464B
701,95FE-3DFC-B9AE-43FC-AB3C_2017-05-25 12:26:26,17502.0,2,2,3,2,1,1,3,0,0,3,53,1777,8,0,0,6,65,197,196,174,181,186,184,193,199,4,189,14,0,0,6,4,3,15,14,7,4,2028712.0,0,1785,0,8,0,0,0,0,8,0.9914466424332938,0,1841,95FE-3DFC-B9AE-43FC-AB3C
707,3867-D656-948F-483A-FC25_2017-10-08 23:41:42,2679498.0,7,7,5,3,1,1,3,0,0,593,52,69,4,32,28,64,25,16,12,10,10,6,2,6,1,56,2,64,57,8,49,32,60,29,36,63,50,803803.0,0,1,72,0,1,0,0,3,3,0.2307589840786082,0,718,3867-D656-948F-483A-FC25
708,4C8D-33F4-9429-7BE4-73B2_2017-10-05 13:31:23,175934.0,1,1,2,1,1,1,4,0,0,0,0,21,8,0,1,6,0,1,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174187.0,0,0,29,0,8,0,0,0,0,0.8696901981377966,1,29,4C8D-33F4-9429-7BE4-73B2
709,CA42-8F9B-354F-8A34-2A4C_2017-05-25 11:26:59,5451.0,1,1,10,7,1,1,1,0,0,0,460,2154,0,3,6,80,87,238,210,237,228,245,211,241,205,7,170,40,0,0,10,14,76,79,73,72,82,5442752.0,0,292,1862,0,0,0,0,0,0,0.9989994866197166,1,2614,CA42-8F9B-354F-8A34-2A4C
710,49D8-7595-54B9-B76A-CD3F_2017-06-09 21:57:29,87103.0,1,1,1,1,1,1,1,0,0,0,0,199,0,0,0,0,0,0,37,29,25,26,18,23,15,0,23,3,0,0,0,0,0,0,0,0,0,819860.0,0,199,0,0,0,0,0,0,0,0.9039619036278216,1,199,49D8-7595-54B9-B76A-CD3F
