,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
755,A97D-CCD7-9D9B-47CA-5EBA_2017-08-01 03:31:36,11184.0,3,3,5,4,3,1,2,0,0,202,2,931,1,60,66,60,61,67,58,55,7,0,0,0,0,60,0,0,0,0,84,54,58,113,151,118,64,6640320.0,0,931,1,0,0,0,0,1,1,0.9983185757687284,1,1136,A97D-CCD7-9D9B-47CA-5EBA
756,D322-734C-DA33-4DD7-8287_2017-07-10 06:58:28,24624.0,1,1,1,1,1,1,4,0,0,0,0,1293,4,0,0,90,91,90,89,93,82,89,86,80,73,1,84,11,0,0,1,0,1,79,93,86,78,1962183.0,0,1297,0,4,0,0,0,0,4,0.9876062445924542,1,1297,D322-734C-DA33-4DD7-8287
759,EF56-B3AD-64E5-CB79-9A4A_2017-09-17 00:48:42,25699.0,3,3,4,3,1,1,24,0,0,658,44,987,1232,16,25,249,313,218,259,232,145,113,93,95,91,14,89,82,79,41,50,68,109,111,67,142,220,1285785.0,0,120,2099,59,11,0,0,1162,1221,0.9804046408496024,1,2921,EF56-B3AD-64E5-CB79-9A4A
761,86DE-D5AB-3ED3-4E2F-A6DC_2017-06-21 10:57:05,7688.0,1,1,1,1,1,1,1,0,0,0,201,0,0,0,0,18,26,42,41,0,0,0,0,0,0,0,0,0,0,0,11,13,14,13,6,8,9,7524684.0,0,0,0,0,0,0,0,0,0,0.998979338779338,1,201,86DE-D5AB-3ED3-4E2F-A6DC
762,787A-E5B8-A984-B5A9-5B5F_2017-05-03 09:32:48,657791.0,1,1,3,2,1,1,1,0,0,0,0,109,0,0,0,0,0,0,15,12,12,11,10,10,18,0,20,1,0,0,0,0,0,0,0,0,0,213990.0,0,0,109,0,0,0,0,0,0,0.2454630233969311,1,109,787A-E5B8-A984-B5A9-5B5F
764,D24C-A5DD-5649-FB8B-9522_2017-11-02 21:43:04,2807.0,6,6,13,2,1,1,2,0,0,58,54,74,12,3,11,1,4,1,0,2,5,7,8,7,10,11,10,5,9,16,35,12,8,13,15,4,1,635177.0,0,60,26,0,0,0,0,12,12,0.9956002031398906,1,198,D24C-A5DD-5649-FB8B-9522
766,47A7-BC52-D69B-4D87-AAA7_2017-04-08 08:34:20,585460.0,7,7,5,1,1,1,4,0,0,895,0,0,12,24,34,51,65,23,18,5,62,66,14,7,11,31,8,12,8,27,66,85,106,51,41,57,35,220120.0,0,0,12,11,1,0,0,0,11,0.2732441222473249,0,907,47A7-BC52-D69B-4D87-AAA7
768,6CB5-655D-C884-8338-6CA2_2017-11-02 00:06:06,604434.0,7,7,6,3,1,1,1,0,0,159,62,48,0,5,7,11,11,3,3,3,3,5,9,6,14,62,4,0,11,3,5,12,11,16,12,29,24,280583.0,0,28,20,0,0,0,0,0,0,0.3170368478797582,0,269,6CB5-655D-C884-8338-6CA2
772,F766-5D7F-3BF4-659B-AE6F_2017-07-24 23:45:22,9245678.0,3,3,2,2,1,1,3,0,0,194,3,0,10,0,0,83,74,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6873069.0,0,10,0,0,10,0,0,0,0,0.4264021887061072,0,207,F766-5D7F-3BF4-659B-AE6F
774,E3DE-F6D2-BEA4-C38C-2AEA_2017-09-21 00:03:38,52229.0,7,7,6,3,1,1,56,0,0,502,454,0,857,75,32,56,94,116,68,24,32,27,106,91,4,16,260,30,124,93,112,97,112,60,86,50,48,1195619.0,0,857,0,854,3,0,0,0,854,0.9581447419878062,1,1813,E3DE-F6D2-BEA4-C38C-2AEA
775,9F2D-724D-4FB4-3A85-B3A8_2017-08-01 09:58:33,8604087.0,1,1,1,1,1,1,10,0,0,0,0,0,33,0,0,1,6,3,0,2,1,1,0,0,0,2,0,0,0,0,5,3,1,0,1,2,5,4756622.0,0,33,0,23,10,0,0,0,23,0.356015687490836,0,33,9F2D-724D-4FB4-3A85-B3A8
776,AF49-647E-3E84-2989-326D_2017-10-26 12:05:54,5609.0,3,3,4,3,1,1,3,0,0,14,0,673,16,24,6,6,6,132,61,41,41,34,37,37,44,0,41,41,46,96,7,3,0,0,0,0,0,5646480.0,0,0,689,15,1,0,0,0,15,0.9990076235529908,1,703,AF49-647E-3E84-2989-326D
780,ADFD-9FD9-6246-7944-A6E8_2017-04-17 00:18:23,5578.0,1,1,6,4,1,1,2,0,0,0,0,1197,3,0,0,76,76,114,129,120,95,96,99,92,92,0,111,82,17,0,0,0,0,0,0,1,0,660293.0,0,1068,132,3,0,0,0,0,3,0.9916230020529502,1,1200,ADFD-9FD9-6246-7944-A6E8
781,67A7-9B72-DF34-BFAF-C72C_2017-08-22 17:08:57,1024.0,20,20,16,6,1,1,1,0,0,62389,7927,0,0,1121,1331,5486,4568,5600,5886,4734,3487,2283,1752,1477,1458,1646,1511,1611,2551,980,2275,2464,2591,2826,3485,4506,4687,19035360.0,0,0,0,0,0,0,0,0,0,0.9999462082714868,1,70316,67A7-9B72-DF34-BFAF-C72C
782,4CDE-8CD6-4684-548D-EA3A_2017-08-10 10:54:45,8275.0,1,1,1,1,1,1,1,0,0,0,20,0,0,0,0,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,2,4879328.0,0,0,0,0,0,0,0,0,0,0.998306941050654,1,20,4CDE-8CD6-4684-548D-EA3A
783,783E-587A-BD34-CC6B-9822_2017-07-11 16:04:20,63758.0,1,1,6,1,1,1,5,0,0,0,0,1385,4,0,0,1,28,57,190,158,161,142,144,149,136,0,150,71,0,0,0,0,0,2,0,0,0,1946239.0,0,0,1389,4,0,0,0,0,4,0.9682795546461016,1,1389,783E-587A-BD34-CC6B-9822
784,783E-587A-BD34-CC6B-9822_2017-09-10 23:49:50,17493.0,1,1,4,1,1,1,11,0,0,0,0,982,112,7,5,1,70,107,135,111,105,107,99,105,100,2,61,8,2,7,7,7,14,15,4,5,10,3678827.0,0,0,1094,112,0,0,0,0,112,0.995267455198684,1,1094,783E-587A-BD34-CC6B-9822
785,FD68-BFCC-5C94-ED4A-7E94_2017-09-14 10:24:04,2464.0,2,2,7,3,1,1,4,0,0,5,11,992,6,1,0,2,5,7,98,90,106,89,103,105,110,0,101,106,82,0,0,0,0,1,2,3,3,868625.0,0,660,338,4,2,0,0,0,4,0.9971713567729588,1,1014,FD68-BFCC-5C94-ED4A-7E94
786,D299-23F2-534B-52A6-AD3F_2017-08-20 15:32:22,6648.0,7,7,5,5,1,1,72,0,0,2182,241,1239,278,157,179,211,284,324,300,222,295,120,39,19,37,226,40,75,63,151,219,156,110,120,85,221,287,4185180.0,0,1259,258,273,5,0,0,0,273,0.9984140570653184,1,3940,D299-23F2-534B-52A6-AD3F
787,847A-88EC-5934-BDAE-775D_2017-09-16 07:39:54,5533.0,1,1,4,3,1,1,8,0,0,0,153,2785,11,0,0,14,139,239,298,345,327,314,290,277,252,0,191,125,11,0,14,22,21,18,17,10,25,3360042.0,0,1398,1398,11,0,0,0,0,11,0.998356001574768,1,2949,847A-88EC-5934-BDAE-775D
789,AB45-5586-C24E-D4A9-39AD_2017-09-25 21:54:28,44311.0,9,9,7,2,1,1,6,0,0,930,60,2221,42,23,35,133,238,204,229,212,207,212,211,209,196,23,197,112,163,23,37,56,60,136,136,88,113,1084762.0,0,0,2263,39,3,0,0,0,39,0.9607545304865142,1,3253,AB45-5586-C24E-D4A9-39AD
794,CE6B-FA93-6B49-ACAC-773E_2017-06-24 05:05:40,5060.0,6,6,7,3,1,1,2,0,0,293,263,672,3,91,65,34,33,21,22,21,0,37,29,42,30,81,36,76,53,101,69,67,71,95,68,44,45,2438783.0,0,672,3,0,3,0,0,0,0,0.9979294905605638,1,1231,CE6B-FA93-6B49-ACAC-773E
796,5E59-35D8-6644-85BA-E662_2017-11-05 14:32:32,9230.0,1,1,1,1,1,1,1,0,0,0,0,11,0,0,0,0,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,917761.0,0,0,11,0,0,0,0,0,0,0.9900430532766769,1,11,5E59-35D8-6644-85BA-E662
799,4A25-CB25-4354-BCAC-46E8_2017-07-03 05:32:59,10432.0,1,1,2,2,1,1,1,0,0,0,115,0,0,0,0,22,15,17,18,0,0,0,0,0,0,0,0,0,0,0,6,5,7,6,3,6,10,633516.0,0,0,0,0,0,0,0,0,0,0.983799934156174,1,115,4A25-CB25-4354-BCAC-46E8
801,847A-88EC-5934-BDAE-775D_2017-06-19 09:41:55,829682.0,1,1,3,3,1,1,6,0,0,0,7,2147,8,0,0,62,105,248,251,236,236,219,233,212,218,0,83,39,4,0,0,2,1,2,0,6,5,2450913.0,0,456,1699,8,0,0,0,0,8,0.7470940484881553,1,2162,847A-88EC-5934-BDAE-775D
802,A75E-9CFE-E454-A9E9-36A2_2017-06-21 00:27:01,1064376.0,5,5,5,2,1,1,4,0,0,163,110,683,5,26,33,78,108,90,105,56,11,0,0,0,0,50,0,0,0,8,48,32,30,42,66,89,89,578709.0,0,683,5,2,3,0,0,0,2,0.3522088023443705,1,961,A75E-9CFE-E454-A9E9-36A2
808,62FE-2943-A43B-9BC3-6629_2017-05-01 05:07:23,1449.0,3,3,1,1,1,1,1,0,0,811,1,0,0,80,60,0,0,0,0,0,0,0,0,0,0,70,0,0,0,49,112,87,91,110,67,86,0,946794.0,0,0,0,0,0,0,0,0,0,0.9984719106811228,1,812,62FE-2943-A43B-9BC3-6629
809,23CB-FEBF-BC3F-452F-97D4_2017-07-03 15:54:56,16696.0,4,4,10,3,1,1,1,0,0,581,276,1955,0,4,0,234,254,354,246,227,224,217,215,208,40,14,35,60,7,8,21,28,43,50,69,105,149,931368.0,0,1300,655,0,0,0,0,0,0,0.982389374556992,1,2812,23CB-FEBF-BC3F-452F-97D4
810,6255-64DB-CA24-E2AB-6273_2017-06-24 13:55:16,3956.0,11,11,9,3,1,1,4,0,0,9802,3590,4124,3,596,521,1380,1857,648,1080,651,548,569,547,557,631,585,192,338,378,316,701,620,568,770,981,1289,1196,8251913.0,0,4124,3,3,0,0,0,0,3,0.9995208257301564,1,17519,6255-64DB-CA24-E2AB-6273
812,3872-8D86-584C-467B-52F6_2017-11-05 23:37:19,260561.0,4,4,1,1,1,1,1,0,0,63,0,0,0,0,0,20,4,0,0,2,0,5,0,9,0,0,1,0,5,5,0,0,0,6,6,0,0,903114.0,0,0,0,0,0,0,0,0,0,0.7760878252089286,0,63,3872-8D86-584C-467B-52F6
813,EBE5-C6B8-7234-7988-346C_2017-07-21 00:01:01,1674.0,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7908895.0,0,0,3,0,3,0,0,0,0,0.9997883843753844,1,3,EBE5-C6B8-7234-7988-346C
814,C532-347C-4E94-EAAA-D876_2017-11-01 06:21:48,1137.0,1,1,6,3,1,1,4,0,0,0,0,4592,33,4,7,320,333,292,293,289,277,289,288,299,306,4,316,294,23,1,0,2,5,4,340,348,291,3282927.0,0,46,4579,32,1,0,0,0,32,0.999653782630302,1,4625,C532-347C-4E94-EAAA-D876
816,C8B2-4D8C-AC84-4FFB-4AC8_2017-09-30 15:32:33,1888611.0,8,8,7,4,1,1,5,0,0,1319,553,1344,9,22,48,234,285,263,283,284,127,57,54,42,39,87,30,29,28,28,91,132,165,202,224,283,188,2884620.0,0,0,1353,4,4,0,1,0,4,0.6043327884194165,1,3225,C8B2-4D8C-AC84-4FFB-4AC8
818,6A7B-5EBE-64BF-EBC4-22DC_2017-10-10 02:08:46,5715.0,2,2,2,1,1,1,1,0,0,1,530,663,0,0,0,50,60,115,124,117,63,64,64,63,60,0,58,69,28,0,0,28,34,32,46,61,58,3188587.0,0,0,663,0,0,0,0,0,0,0.9982108767423994,1,1194,6A7B-5EBE-64BF-EBC4-22DC
819,5FC3-9589-9DA4-435B-824D_2017-07-29 08:48:04,7854.0,1,1,7,3,1,1,13,0,0,0,0,637,287,4,6,18,60,115,91,89,84,80,71,66,38,1,30,26,1,3,2,9,32,69,11,4,14,1230665.0,0,257,667,287,0,0,0,0,287,0.9936585550968536,1,924,5FC3-9589-9DA4-435B-824D
820,B9A5-7FEF-D798-4C6E-BFC5_2017-09-15 02:05:50,369144.0,5,5,3,1,1,1,1,0,0,26,0,72,0,4,0,3,0,7,12,7,6,6,12,10,11,0,1,0,10,0,0,1,1,0,4,3,0,1049095.0,0,0,72,0,0,0,0,0,0,0.7397166486043607,1,98,B9A5-7FEF-D798-4C6E-BFC5
821,49D8-7595-54B9-B76A-CD3F_2017-05-31 09:32:12,2457.0,1,1,1,1,1,1,2,0,0,0,0,307,1,0,0,0,0,1,54,48,41,35,33,29,30,0,33,4,0,0,0,0,0,0,0,0,0,1150821.0,0,307,1,0,1,0,0,0,0,0.997869550966896,1,308,49D8-7595-54B9-B76A-CD3F
822,CC54-BD32-A94F-FEBF-CD3C_2017-09-20 05:36:48,46212.0,1,1,6,4,1,1,5,0,0,0,948,1701,65,1,7,80,257,257,141,138,148,159,164,161,165,0,166,175,6,0,111,122,121,56,79,98,102,3079313.0,0,10,1756,6,59,0,0,0,6,0.985214643939818,1,2714,CC54-BD32-A94F-FEBF-CD3C
825,AB2F-4A42-374C-A4BF-A389_2017-10-26 17:54:38,5389.0,5,5,3,1,1,1,1,0,0,333,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0,26,0,15,29,18,38,61,67,13,0,0,0,4376956.0,0,0,0,0,0,0,0,0,0,0.9987702930736856,1,333,AB2F-4A42-374C-A4BF-A389
826,FD68-BFCC-5C94-ED4A-7E94_2017-05-16 11:19:05,2786.0,4,4,5,2,1,1,2,0,0,16,305,946,33,0,0,56,48,32,103,120,89,97,101,107,114,5,111,92,67,4,0,19,17,21,21,38,38,1308426.0,0,0,979,0,33,0,0,0,0,0.9978752482436096,1,1300,FD68-BFCC-5C94-ED4A-7E94
828,B553-E4CE-5C26-48C3-8E69_2017-09-29 23:45:42,286779.0,3,3,9,4,1,1,6,0,0,68,0,461,9,0,5,25,29,61,62,51,48,45,44,46,38,0,21,3,9,1,1,2,5,1,0,0,41,831039.0,0,5,465,5,4,0,0,0,5,0.743447502187297,1,538,B553-E4CE-5C26-48C3-8E69
829,AAD9-65AD-9983-46E6-95B8_2017-06-14 17:31:05,39509.0,2,2,2,1,1,1,1,0,0,2,0,342,0,0,2,30,30,34,31,28,30,35,32,29,33,0,30,0,0,0,0,0,0,0,0,0,0,1434331.0,0,342,0,0,0,0,0,0,0,0.9731931552950116,1,344,AAD9-65AD-9983-46E6-95B8
832,CBFF-2C3F-5EE4-5429-B6A2_2017-07-31 12:56:25,55578.0,1,1,9,7,1,1,7,0,0,0,64,2706,66,8,25,158,217,235,168,189,195,205,185,191,190,35,92,74,64,13,51,53,75,97,76,111,129,1474895.0,0,123,2649,60,6,0,0,0,60,0.96368573637039,1,2836,CBFF-2C3F-5EE4-5429-B6A2
833,3322-88EB-E6F4-FDEB-DDBF_2017-08-28 05:24:10,3256.0,4,4,13,5,1,1,4,0,0,383,0,996,10,15,5,63,91,134,107,136,114,130,134,144,66,8,7,56,4,4,13,13,16,29,36,31,33,616812.0,0,0,1006,7,3,0,0,0,7,0.9947489630169596,1,1389,3322-88EB-E6F4-FDEB-DDBF
834,847A-88EC-5934-BDAE-775D_2017-10-09 16:09:03,1261.0,1,1,3,3,1,1,2,0,0,0,2,971,1,1,0,1,92,113,114,107,94,81,82,80,75,0,63,69,2,0,0,0,0,0,0,0,0,1847616.0,0,664,308,1,0,0,0,0,1,0.999317964364314,1,974,847A-88EC-5934-BDAE-775D
838,86B8-FB2A-F8B4-4D39-2B2E_2017-08-31 10:30:16,963.0,1,1,6,3,1,1,8,0,0,0,531,0,18,0,0,42,71,83,83,2,0,0,0,0,0,7,0,0,0,1,33,27,33,29,38,45,55,3952085.0,0,0,18,18,0,0,0,0,18,0.999756390511828,1,549,86B8-FB2A-F8B4-4D39-2B2E
840,5245-A998-85E4-7D8B-8DCD_2017-09-22 21:11:56,63650.0,11,11,5,5,1,1,6,0,0,2380,38,0,5,129,102,162,270,397,314,284,187,20,35,14,0,78,2,15,58,38,52,62,29,45,15,24,91,798837.0,0,1,4,4,1,0,0,0,4,0.9262017862298214,1,2423,5245-A998-85E4-7D8B-8DCD
841,9DB5-3F87-D524-FBAE-4CA3_2017-07-10 07:07:39,3544.0,4,4,7,4,1,1,4,0,0,75,292,2287,8,25,17,31,297,344,281,210,214,209,206,201,112,29,111,104,66,0,24,24,33,20,28,43,33,1300366.0,0,2287,8,6,2,0,0,0,6,0.9972820209983818,0,2662,9DB5-3F87-D524-FBAE-4CA3
842,CC54-BD32-A94F-FEBF-CD3C_2017-05-09 01:26:13,1445.0,1,1,6,4,1,1,2,0,0,0,326,533,30,0,0,32,41,44,53,54,58,57,60,53,61,0,70,64,5,4,41,36,30,28,25,44,29,1211814.0,0,9,554,30,0,0,0,0,30,0.9988089929685252,1,889,CC54-BD32-A94F-FEBF-CD3C
844,E8F7-9BDA-A456-4B6B-6442_2017-10-15 00:27:31,1010.0,1,1,2,2,1,1,1,0,0,0,0,431,0,0,0,0,0,42,77,49,53,48,55,52,54,0,1,0,0,0,0,0,0,0,0,0,0,1544283.0,0,0,431,0,0,0,0,0,0,0.9993464022680488,1,431,E8F7-9BDA-A456-4B6B-6442
846,5F94-2B3F-7B44-A4B9-4D43_2017-06-29 12:23:00,4729.0,16,16,10,5,1,1,78,0,0,1375,0,0,326,66,141,137,91,144,172,94,60,15,0,4,1,92,16,17,27,62,103,32,40,61,138,93,95,6924010.0,0,272,54,317,9,0,0,0,317,0.9993174804246489,1,1701,5F94-2B3F-7B44-A4B9-4D43
849,623D-EB9C-2847-68BF-F25C_2017-07-03 12:27:25,48644.0,1,1,9,5,1,1,1,0,0,0,2218,504,0,5,2,292,261,335,406,167,10,9,9,9,8,2,2,2,2,3,128,135,125,148,180,218,264,16935847.0,0,43,461,0,0,0,0,0,0,0.9971359754025009,0,2722,623D-EB9C-2847-68BF-F25C
850,E7A2-B5D4-2E97-4AED-B6DD_2017-05-05 08:11:41,1723.0,1,1,7,4,1,1,1,0,0,0,187,2069,0,0,0,31,64,151,151,164,159,237,233,240,237,0,234,205,33,0,0,17,9,14,20,31,26,4502227.0,0,1155,914,0,0,0,0,0,0,0.9996174469077144,1,2256,E7A2-B5D4-2E97-4AED-B6DD
852,7829-FFAD-C3F4-263A-76DB_2017-10-02 15:39:10,35941.0,4,4,2,1,1,1,27,0,0,592,282,0,104,8,3,86,127,174,181,27,21,1,10,0,0,14,4,30,14,38,21,41,36,23,61,38,20,16868664.0,0,99,5,93,11,0,0,0,93,0.9978738929421894,1,978,7829-FFAD-C3F4-263A-76DB
853,8EE4-B352-DB44-628E-ADFE_2017-04-16 14:48:51,1779.0,4,4,3,3,1,1,19,0,0,585,46,83,27,0,0,68,109,87,23,45,14,12,13,14,14,2,14,25,46,1,36,62,24,28,43,35,26,859232.0,0,0,110,24,3,0,0,0,24,0.997933824306542,1,741,8EE4-B352-DB44-628E-ADFE
854,683C-973C-5364-D6EA-9AC2_2017-11-03 02:24:51,2886.0,11,11,10,6,1,1,8,0,0,1608,669,304,10,92,265,52,3,0,0,0,0,0,0,0,98,259,122,139,125,91,224,253,307,228,150,116,67,2396257.0,0,158,156,8,2,0,0,0,8,0.998797070453908,1,2591,683C-973C-5364-D6EA-9AC2
858,7479-AFD8-6D44-B248-2723_2017-05-27 14:32:02,1039.0,1,1,4,3,1,1,1,0,0,0,0,1446,0,0,0,0,0,0,0,47,205,209,208,193,194,0,200,178,12,0,0,0,0,0,0,0,0,9576869.0,0,0,1446,0,0,0,0,0,0,0.9998915211964868,1,1446,7479-AFD8-6D44-B248-2723
859,C59A-67DE-884B-65A2-E899_2017-11-01 15:10:55,3040.0,2,2,1,1,1,1,2,0,0,104,0,0,3,2,8,4,4,12,0,0,0,0,0,0,0,9,0,0,0,0,10,5,13,2,7,27,4,1579107.0,0,0,3,0,3,0,0,0,0,0.9980785603360496,1,107,C59A-67DE-884B-65A2-E899
864,D7AD-928F-C464-BF7B-3ABA_2017-08-14 08:15:31,1595.0,1,1,1,1,1,1,5,0,0,0,0,497,4,1,4,0,1,0,1,45,62,59,55,50,56,2,56,58,34,3,6,6,2,0,0,0,0,3583660.0,0,0,501,2,2,0,0,0,2,0.9995551222995296,1,501,D7AD-928F-C464-BF7B-3ABA
866,9987-FDB5-947B-4C9F-89B8_2017-09-26 13:55:12,4049.0,11,11,26,6,1,1,5,0,0,1899,495,1458,8,24,43,251,282,215,277,304,279,178,192,191,189,52,189,72,80,65,61,63,85,120,151,231,266,619982.0,0,875,591,8,0,0,0,0,8,0.9935115402920688,1,3860,9987-FDB5-947B-4C9F-89B8
867,ADFD-9FD9-6246-7944-A6E8_2017-05-10 13:04:19,9516.0,1,1,7,4,1,1,2,0,0,0,0,1078,15,0,0,104,75,122,106,79,64,74,67,71,73,0,91,114,40,0,4,1,4,4,0,0,0,2027578.0,0,155,938,15,0,0,0,0,15,0.9953286397191292,1,1093,ADFD-9FD9-6246-7944-A6E8
871,73D7-2EF7-E453-7B6B-BA4C_2017-05-04 16:10:50,33949.0,1,1,4,3,1,1,20,0,0,0,0,516,26,0,0,2,1,1,97,93,75,65,47,63,58,3,29,0,0,1,0,4,0,3,0,0,0,7660733.0,0,0,542,22,4,0,0,0,22,0.9955879918104478,1,542,73D7-2EF7-E453-7B6B-BA4C
872,376E-B7EC-2594-E6F8-6B9D_2017-09-16 04:04:40,1313773.0,7,7,9,7,2,1,5,0,0,318,1623,1877,20,10,8,195,228,439,263,229,270,253,258,247,26,154,17,19,9,6,133,145,158,188,198,168,217,5103563.0,0,1811,86,18,2,0,0,0,18,0.7952775107926404,1,3838,376E-B7EC-2594-E6F8-6B9D
873,6EF7-E744-A647-2ABD-48F5_2017-06-30 13:57:57,23680.0,1,1,3,2,1,1,1,0,0,0,103,144,0,0,0,11,16,52,13,15,17,18,16,16,15,5,1,0,0,0,7,4,4,13,8,8,8,1122575.0,0,0,144,0,0,0,0,0,0,0.9793414205390598,0,247,6EF7-E744-A647-2ABD-48F5
875,9A95-DAB2-E947-74BD-26FD_2017-10-01 15:39:51,3957.0,6,6,7,3,1,1,6,0,0,326,471,1468,28,18,5,86,95,115,166,177,149,131,139,130,129,11,125,124,152,134,19,51,36,39,64,120,78,1485598.0,0,0,1496,4,24,0,0,0,4,0.9973435019183582,1,2293,9A95-DAB2-E947-74BD-26FD
876,A73C-9B69-D544-B9BA-8F47_2017-09-24 22:09:49,283913.0,1,1,5,2,1,1,1,0,0,0,4139,8400,0,0,0,346,1587,1472,992,810,836,815,821,856,817,373,75,0,0,0,396,402,485,384,356,354,362,8748690.0,0,8400,0,0,0,0,0,0,0,0.9685679753665694,1,12539,A73C-9B69-D544-B9BA-8F47
879,4C6E-933A-7447-AB4B-4D77_2017-08-15 16:59:26,12410.0,2,2,7,3,1,1,2,0,0,6,234,839,1,0,0,67,143,107,68,66,89,93,68,72,85,3,54,4,2,0,7,4,13,22,29,43,41,891730.0,0,151,689,1,0,0,0,0,1,0.9862742495631208,1,1080,4C6E-933A-7447-AB4B-4D77
880,5FC3-9589-9DA4-435B-824D_2017-08-05 12:44:05,10428.0,1,1,4,3,1,1,7,0,0,0,0,173,151,2,1,16,18,39,29,25,22,13,14,18,14,3,4,23,11,2,10,4,6,29,2,2,17,611107.0,0,151,173,151,0,0,0,0,151,0.9832221837869146,1,324,5FC3-9589-9DA4-435B-824D
883,3C7D-85C9-FE48-D9FD-65D8_2017-05-25 16:42:25,2068.0,3,3,11,2,1,1,2,0,0,63,31,3396,1,139,141,166,156,149,155,148,144,142,138,138,138,140,144,145,138,138,145,144,146,145,149,148,155,8385055.0,0,3396,1,1,0,0,0,0,1,0.9997534315402312,1,3491,3C7D-85C9-FE48-D9FD-65D8
886,69EB-ECB3-E458-5877-F7DE_2017-07-11 15:04:13,4381.0,1,1,3,3,1,1,3,0,0,0,25,0,2,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,5,4,4,602105.0,0,0,2,2,0,0,0,0,2,0.9927764202306402,1,27,69EB-ECB3-E458-5877-F7DE
887,723F-3EF5-A454-A48E-6F2A_2017-09-21 06:51:48,5117.0,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1961896.0,0,0,6,0,0,0,0,0,0,0.997398593705278,1,6,723F-3EF5-A454-A48E-6F2A
889,6D5F-9FAF-4B44-AFE9-C3CB_2017-08-01 08:03:02,4651.0,1,1,4,1,1,1,1,0,0,0,0,248,0,113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,6331166.0,0,0,248,0,0,0,0,0,0,0.9992659194544288,1,248,6D5F-9FAF-4B44-AFE9-C3CB
890,F6CE-C258-947D-893E-7F53_2017-08-24 02:44:34,2419.0,8,8,3,1,1,1,19,0,0,26696,0,7601,38,1665,1202,4099,4571,3539,2609,1118,319,79,13,9,6,1274,130,944,1085,1457,1407,1201,990,775,870,1712,3261,12705861.0,0,7601,38,36,2,0,0,0,36,0.9998096516601774,1,34335,F6CE-C258-947D-893E-7F53
891,38A3-58AC-2DD4-2228-42E5_2017-07-03 21:24:50,1950.0,1,1,3,3,1,1,1,0,0,0,0,35,0,2,0,0,0,0,0,4,2,2,3,4,3,0,1,6,3,5,0,0,0,0,0,0,0,630276.0,0,0,35,0,0,0,0,0,0,0.9969156599064258,1,35,38A3-58AC-2DD4-2228-42E5
