,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
0,2FEC-ABA2-9C74-E4AF-8297_2017-07-19 09:06:11,2FEC-ABA2-9C74-E4AF-8297,2793.0,6,1,70,2,2.4990649028542835,0,1,0,204,18,6,13,12,27,9,4,0,0,0,0,0,11,2,0,10,39,10,4,6,9,16,8,1,11165691.0,0,205,0,4,102,106,99,0.9997499212963908,1,205
1,CB39-ACBE-649E-FBC8-8283_2017-09-06 22:59:51,CB39-ACBE-649E-FBC8-8283,11095.0,2,2,135,2,2.715955709974649,132,0,0,245,34,5,5,17,98,17,14,5,8,14,38,6,9,2,13,3,1,0,2,12,42,19,5,8,4707848.0,0,377,0,1,36,37,340,0.9976488378859418,1,377
3,6AD5-763E-7864-678A-583A_2017-05-16 10:57:55,6AD5-763E-7864-678A-583A,43329.0,2,1,2,2,0.3445982481028228,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678939.0,0,4,0,1,1,2,2,0.9400098024555982,1,4
4,6258-DA42-D7E4-48B6-8DB2_2017-05-19 10:29:21,6258-DA42-D7E4-48B6-8DB2,1956.0,5,1,6,2,1.4052121392333319,0,0,0,30,1,0,4,2,2,5,0,2,0,1,0,1,0,0,0,0,0,2,2,3,0,5,0,0,9393908.0,0,30,0,3,10,13,17,0.9997918232958672,1,30
5,ED93-33AE-8F4E-4C2F-8EE4_2017-07-23 13:18:51,ED93-33AE-8F4E-4C2F-8EE4,3514.0,1,1,2,2,0.4563344322932884,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,954975.0,0,5,0,0,2,2,3,0.9963338129076076,1,5
6,96FD-63F5-9C48-6C87-74B8_2017-07-25 10:48:04,96FD-63F5-9C48-6C87-74B8,5652.0,1,1,2,2,0.623848004006291,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1162643.0,0,7,0,0,3,3,4,0.9951621807848188,1,7
7,9FC2-BD77-4FE3-4D9A-DEEB_2017-05-11 21:20:35,9FC2-BD77-4FE3-4D9A-DEEB,4124.0,1,1,3,2,1.1967111294257538,0,0,0,24,2,0,0,2,0,0,0,1,0,0,0,0,7,0,1,0,1,1,0,0,5,4,0,0,1116054.0,0,24,0,0,9,9,15,0.9963184422475714,1,24
9,4725-B638-BD46-4A7A-333D_2017-10-11 18:12:50,4725-B638-BD46-4A7A-333D,4061.0,2,2,2,3,1.7623137103139592,111,1,2,35,0,26,4,0,0,32,0,0,3,0,5,31,0,0,7,3,0,0,4,6,2,26,0,0,2435655.0,0,148,1,1,16,17,132,0.9983354619963964,1,149
10,4F5A-28E9-E842-99DE-2A7E_2017-07-28 11:37:42,4F5A-28E9-E842-99DE-2A7E,84317.0,2,2,2,2,0.9979075831681395,1,0,0,20,0,0,4,7,0,4,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3018249.0,0,21,0,1,8,9,12,0.9728234629013532,1,21
11,F34A-5CF4-F4ED-7AB5-9A36_2017-08-28 06:38:21,F34A-5CF4-F4ED-7AB5-9A36,270118.0,1,2,2,2,0.9525127468791601,18,0,0,4,5,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,6,0,0,0,378068.0,0,22,0,0,2,2,20,0.5832708512680003,0,22
13,849F-6CC7-B434-CBE9-64EC_2017-08-11 01:07:14,849F-6CC7-B434-CBE9-64EC,2438.0,8,2,3,2,1.790630216446525,26,1,0,41,5,5,2,6,4,0,0,0,0,3,4,0,2,0,0,0,5,3,7,3,3,12,4,0,15029037.0,0,68,0,5,14,19,49,0.9998378070016416,1,68
14,D237-726E-566A-424C-BAD4_2017-04-10 14:00:59,D237-726E-566A-424C-BAD4,59506.0,2,1,2,1,0.4563344322932884,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1654809.0,0,4,0,0,1,1,3,0.965288759650356,1,4
17,972D-6DC3-64B6-487A-886C_2017-04-11 23:00:31,972D-6DC3-64B6-487A-886C,49951.0,1,1,2,1,0.4563344322932884,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,892846.0,0,4,0,0,2,2,2,0.9470182870755848,1,4
18,B4F6-33D3-383E-47F9-979D_2017-10-31 13:26:52,B4F6-33D3-383E-47F9-979D,2701.0,1,2,3,2,0.8947504818324978,46,0,0,4,0,1,0,12,0,3,0,0,0,11,0,0,0,0,0,0,11,0,0,12,0,0,0,0,992659.0,0,50,0,0,2,2,48,0.99728640893747,1,50
20,2D6F-8F9E-96B4-44C7-92D8_2017-10-21 12:10:57,2D6F-8F9E-96B4-44C7-92D8,5053.0,3,2,3,2,1.4421326714429743,143,1,2,8,0,2,0,33,8,2,0,0,0,34,0,2,0,0,1,0,34,0,2,33,0,3,0,0,3110084.0,0,153,1,1,2,3,151,0.9983779204574308,1,154
21,C88C-435C-2344-23B7-A4F9_2017-09-14 13:02:44,C88C-435C-2344-23B7-A4F9,52020.0,2,2,3,2,1.6746826416553908,41,0,0,22,0,9,2,4,0,8,0,0,2,3,2,6,0,0,0,0,3,2,0,4,0,12,0,6,964546.0,0,63,0,1,10,11,52,0.9488277199906352,0,63
22,CEAF-7924-9F8E-432B-9894_2017-08-31 14:26:46,CEAF-7924-9F8E-432B-9894,1243.0,3,2,2,2,1.2904336535288885,108,0,0,12,0,0,28,0,0,0,2,0,27,0,0,0,0,0,1,27,0,5,26,0,2,0,2,0,6047785.0,0,120,0,2,3,5,115,0.9997945124406764,1,120
23,CC54-BD32-A94F-FEBF-CD3C_2017-08-15 13:13:39,CC54-BD32-A94F-FEBF-CD3C,3676.0,2,2,3,2,1.4298983731002697,41,0,0,6,0,1,2,2,0,1,8,0,2,0,0,0,8,8,0,1,0,0,3,0,0,2,9,0,1512702.0,0,47,0,1,2,3,44,0.9975758023395224,1,47
24,9778-EC4E-2874-8B39-F72C_2017-08-18 05:59:34,9778-EC4E-2874-8B39-F72C,163802.0,2,2,5,2,1.3160801605489951,49,0,0,11,0,4,2,0,0,4,0,8,0,0,0,4,0,0,9,0,0,9,0,3,0,4,4,9,1720037.0,0,60,0,1,4,5,55,0.9130488327293362,1,60
26,8C92-9456-A624-F46B-62CB_2017-06-22 02:32:02,8C92-9456-A624-F46B-62CB,1705.0,1,1,2,2,1.3061883841920217,0,0,0,30,1,3,2,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,2,6,0,0,2,4,869539.0,0,30,0,0,18,18,12,0.9980430281298924,1,30
27,F427-AE39-79E4-4B5A-4DE3_2017-06-02 12:08:33,F427-AE39-79E4-4B5A-4DE3,4989.0,8,1,3,2,1.827719728284528,0,1,0,55,1,0,2,9,9,2,0,1,6,0,1,0,4,0,0,0,3,4,2,1,2,5,4,0,14860822.0,0,56,0,4,17,21,35,0.999664397724416,1,56
28,6662-9AB4-448E-B64B-E945_2017-08-26 17:30:32,6662-9AB4-448E-B64B-E945,10404.0,2,2,23,2,2.715955709974649,88,0,0,170,2,0,7,13,0,14,10,25,4,14,5,10,0,2,19,20,24,31,0,12,8,5,6,27,4179161.0,0,258,0,1,81,82,176,0.9975166872933108,1,258
29,C723-F6E8-FE4F-3592-F94C_2017-10-18 23:33:10,C723-F6E8-FE4F-3592-F94C,2975.0,4,2,2,2,1.0556698482148017,302,1,0,6,0,0,0,76,0,0,0,0,0,76,0,0,0,0,0,0,77,4,0,74,0,1,1,0,7674599.0,0,309,0,2,1,3,306,0.9996125078052,1,309
30,787A-E5B8-A984-B5A9-5B5F_2017-04-23 02:49:43,787A-E5B8-A984-B5A9-5B5F,30460.0,3,1,4,2,1.556696928383129,0,0,0,35,2,2,5,0,0,1,0,0,2,0,2,3,4,0,0,0,0,1,3,1,3,3,2,1,2167691.0,0,35,0,2,10,12,23,0.9861428991911838,1,35
31,694B-ADBB-64E9-4AFC-E252_2017-02-25 14:11:28,694B-ADBB-64E9-4AFC-E252,5429.0,1,1,2,1,0.5442837329694393,0,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1301868.0,0,5,0,0,2,2,3,0.9958471563845094,1,5
32,E989-CF5A-A2A4-7369-8743_2017-08-04 23:17:05,E989-CF5A-A2A4-7369-8743,976.0,2,2,3,2,0.8965413061410985,11,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,3,0,0,2,0,0,2,1790195.0,0,16,0,0,2,2,14,0.9994551050681371,1,16
33,C8ED-7CB5-8243-ED9F-966C_2017-10-20 12:01:01,C8ED-7CB5-8243-ED9F-966C,2896.0,3,3,25,2,2.36173836677077,82,1,16,63,5,5,19,9,7,6,8,5,9,0,4,5,10,12,5,13,4,7,9,0,1,2,12,5,1746396.0,0,154,8,2,21,23,139,0.9983444730782512,1,162
34,846B-AE44-6C4E-E696-59BC_2016-12-30 08:06:38,846B-AE44-6C4E-E696-59BC,14411.0,2,1,1,1,0.4563344322932884,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,604650.0,0,5,0,0,1,1,4,0.9767211954880052,0,5
35,7A96-4DC3-DA42-838B-E9E5_2017-02-10 10:11:53,7A96-4DC3-DA42-838B-E9E5,585291.0,2,1,7,1,0.7097131024243333,0,2,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,7,0,0,183845.0,0,24,0,1,8,9,15,0.2390279482432236,1,24
36,65E4-DD73-CF4F-4F3A-AF54_2017-10-15 01:04:46,65E4-DD73-CF4F-4F3A-AF54,11266.0,5,2,8,2,2.1884515716307837,286,1,0,25,2,4,38,1,1,3,31,0,38,1,0,4,33,31,1,38,2,7,39,3,0,4,31,0,11884336.0,0,312,0,3,7,10,302,0.999052927291952,1,312
37,7929-FEC4-6464-92B7-B4F4_2017-09-19 11:20:36,7929-FEC4-6464-92B7-B4F4,1178.0,3,2,5,2,1.7466031597683358,87,1,0,14,12,0,0,1,14,0,9,2,0,0,12,0,12,10,3,0,2,2,0,0,13,0,10,0,1885838.0,0,102,0,1,5,6,96,0.9993757339630401,1,102
39,F325-A8FC-B4DD-4582-9D3B_2017-03-19 14:32:05,F325-A8FC-B4DD-4582-9D3B,213247.0,3,1,3,1,1.7117327410493706,0,1,0,44,2,0,0,0,3,0,5,2,1,1,5,1,0,2,2,0,2,2,1,7,4,4,1,0,3808621.0,0,45,0,0,17,17,28,0.9469781206146001,0,45
40,234C-AF7F-B274-2678-8DBB_2017-10-24 05:12:17,234C-AF7F-B274-2678-8DBB,1773.0,2,3,2,2,1.6987829895138011,53,0,0,15,0,5,0,0,0,5,0,12,4,0,0,5,0,0,8,1,1,10,2,1,1,5,0,8,1146096.0,0,68,0,1,6,7,61,0.9984553986561184,1,68
41,D3C5-982B-34F8-CBB8-A958_2017-08-23 08:45:35,D3C5-982B-34F8-CBB8-A958,1067.0,2,2,2,2,1.1389488643790917,64,0,0,10,16,4,0,0,16,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,16,2,1,1,1465936.0,0,74,0,1,4,5,69,0.9992726667907292,1,74
42,7E44-E8F4-4424-584A-C4C7_2017-09-29 07:48:37,7E44-E8F4-4424-584A-C4C7,5625.0,2,2,3,2,0.9525127468791601,35,1,7,3,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,8,0,0,2,7,0,777140.0,0,41,5,0,1,1,45,0.9928139352168276,1,46
43,5BE3-98FD-C8E7-4533-9B42_2017-10-15 01:40:37,5BE3-98FD-C8E7-4533-9B42,2987.0,1,2,4,2,1.2326713884822265,53,0,0,14,0,1,0,0,0,2,13,0,1,0,0,0,13,14,0,0,8,0,2,0,0,0,13,0,1155569.0,0,67,0,0,7,7,60,0.9974217905737832,0,67
44,69E6-CBD2-8466-AB5C-4AC9_2017-09-06 11:06:30,69E6-CBD2-8466-AB5C-4AC9,994.0,6,2,2,2,2.268015842667635,130,0,0,53,4,0,36,1,4,0,5,4,30,0,7,0,1,0,2,30,0,3,33,4,3,6,2,8,12722057.0,0,183,0,5,15,20,163,0.999921874085076,1,183
45,7AE8-B279-3294-E76B-D8BA_2017-01-30 09:34:23,7AE8-B279-3294-E76B-D8BA,1408.0,4,1,1,1,1.2326713884822262,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,3,1,4,1,2,5,4497597.0,0,22,0,1,8,9,13,0.9996870419126008,1,22
46,369F-CABD-AE4C-3F92-35F7_2017-06-15 16:46:37,369F-CABD-AE4C-3F92-35F7,1403.0,1,1,2,2,0.847039638507847,0,0,0,26,0,6,0,0,0,0,0,0,2,0,0,0,0,10,3,5,0,0,0,0,0,0,0,0,1448766.0,0,26,0,0,14,14,12,0.9990325265538016,1,26
47,B88B-ECDE-C245-EAA9-6AAA_2017-05-15 10:36:15,B88B-ECDE-C245-EAA9-6AAA,61243.0,2,1,2,2,0.5442837329694393,0,1,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,814231.0,0,5,0,1,1,2,3,0.930045895137948,1,5
49,D28F-E24B-E747-7A84-B769_2017-09-11 13:50:55,D28F-E24B-E747-7A84-B769,1029779.0,1,2,2,2,0.97610557717795,17,0,0,4,0,0,1,5,0,1,0,0,0,4,0,0,0,0,0,0,4,0,2,4,0,0,0,0,357448.0,0,21,0,0,2,2,19,0.2576708786665773,0,21
50,88BF-2258-64B9-FAB5-CED5_2017-05-03 07:14:58,88BF-2258-64B9-FAB5-CED5,9626.0,4,1,2,2,0.8028187820379638,0,1,0,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,2,0,3436394.0,0,10,0,2,2,4,6,0.9972066325790332,1,10
53,88DA-5D7E-EA4E-98A9-DDBE_2017-06-23 11:21:56,88DA-5D7E-EA4E-98A9-DDBE,172140.0,1,1,11,2,1.5936174605927709,0,0,0,129,0,0,23,17,2,0,0,0,5,0,0,0,6,0,0,0,2,0,0,2,17,29,7,19,1382915.0,0,129,0,0,60,60,69,0.889302950699493,0,129
54,F233-62AD-53CC-4ABA-939F_2017-10-05 20:59:45,F233-62AD-53CC-4ABA-939F,2822.0,6,2,2,2,2.9829650292177705,231,1,0,569,60,39,13,19,41,17,9,11,5,47,27,15,41,27,23,27,37,33,92,62,31,28,40,57,13717634.0,0,801,0,4,210,214,587,0.9997943217047596,1,801
55,A53D-38B7-8724-C249-C7C6_2017-09-12 16:29:23,A53D-38B7-8724-C249-C7C6,1346.0,2,2,2,2,1.5367702195633501,32,0,0,17,0,0,0,2,2,3,8,1,3,3,0,0,5,5,0,0,3,2,0,2,0,0,8,2,704538.0,0,49,0,1,5,6,43,0.998093171115934,1,49
56,9C5C-B556-4A49-2282-5F22_2017-05-28 06:25:00,9C5C-B556-4A49-2282-5F22,3794.0,2,1,2,2,1.1563745537147718,0,0,0,24,0,0,2,0,0,0,4,0,3,4,0,0,1,2,7,0,0,0,0,0,1,0,0,0,1156556.0,0,24,0,1,11,12,12,0.9967302968931788,1,24
57,5C72-5484-3674-55A7-92E8_2017-05-29 00:07:05,5C72-5484-3674-55A7-92E8,6560.0,3,1,2,3,0.5442837329694393,0,1,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2478939.0,0,10,0,2,3,5,5,0.9973606909517968,0,10
58,CC54-BD32-A94F-FEBF-CD3C_2017-07-26 14:50:20,CC54-BD32-A94F-FEBF-CD3C,11698.0,1,1,3,2,0.5442837329694393,0,0,0,5,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1812715.0,0,5,0,0,2,2,3,0.9935880746300316,1,5
59,C844-C4D4-4B45-B5A2-3AD2_2017-07-29 18:35:38,C844-C4D4-4B45-B5A2-3AD2,5173.0,1,2,5,2,0.8239592165010823,6,0,0,8,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,1,0,0,2,0,949367.0,0,14,0,0,4,4,10,0.9945806356988708,1,14
60,3B7F-696B-FB45-4DEA-A7FD_2017-10-10 00:25:08,3B7F-696B-FB45-4DEA-A7FD,1831.0,1,2,7,2,2.1596726083563844,122,0,10,28,13,2,18,0,10,9,0,0,20,0,10,5,1,0,2,20,0,2,29,2,12,3,2,0,2670301.0,0,155,5,0,14,14,146,0.9993147793597024,1,160
61,C88C-44BD-3634-8B89-47E9_2017-08-09 05:27:58,C88C-44BD-3634-8B89-47E9,964.0,2,2,2,2,0.9596147939120492,13,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,2,1,2,0,0,2,0,1,0,2,1,2,874525.0,0,16,0,1,1,2,14,0.998898901071287,1,16
62,5FBD-F5DC-AD46-D6A3-5EEA_2017-02-01 12:11:30,5FBD-F5DC-AD46-D6A3-5EEA,18115.0,1,1,1,1,0.2868359830561607,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597581.0,0,2,0,0,1,1,1,0.970578012525662,1,2
63,5C7F-CC84-EA4F-4BE5-C9AE_2017-07-16 07:27:41,5C7F-CC84-EA4F-4BE5-C9AE,156178.0,1,1,7,2,0.6816102690529532,0,0,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,542015.0,0,12,0,0,5,5,7,0.7763111346003182,1,12
65,2AD4-A539-FB94-94E9-D99E_2017-07-13 15:13:54,2AD4-A539-FB94-94E9-D99E,1980.0,1,1,2,2,0.4563344322932884,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1065701.0,0,4,0,0,1,1,3,0.9981455135007554,0,4
66,783E-587A-BD34-CC6B-9822_2017-05-29 12:08:00,783E-587A-BD34-CC6B-9822,1783141.0,2,1,2,2,1.5591581115620663,0,0,0,38,1,0,8,5,3,7,2,2,1,0,0,0,0,0,0,3,1,0,1,2,2,0,0,0,3158768.0,0,38,0,1,15,16,22,0.6391797177973128,1,38
67,72BC-76A7-B48F-A8EB-C7FC_2017-09-06 13:18:37,72BC-76A7-B48F-A8EB-C7FC,1265.0,1,2,2,2,1.3857526552288733,63,0,0,16,0,0,14,0,2,3,0,0,16,0,0,2,4,3,0,17,0,0,16,2,0,0,0,0,1443515.0,0,79,0,0,8,8,71,0.9991244341699084,1,79
68,D886-8B4F-F384-9A58-F4E4_2017-09-05 08:18:38,D886-8B4F-F384-9A58-F4E4,5461.0,4,2,4,6,1.567224909183783,128,3,0,43,0,0,31,0,0,0,1,0,31,0,0,0,1,1,0,31,0,2,30,8,1,23,14,0,2775481.0,0,174,0,8,13,21,153,0.9980362769162392,1,174
71,EB9B-CEDD-66C4-CE8B-B269_2017-06-15 15:22:23,EB9B-CEDD-66C4-CE8B-B269,1613.0,4,1,4,2,1.6580632054101698,0,0,0,49,1,3,2,4,1,4,3,2,0,0,3,0,1,7,2,3,2,3,1,0,2,3,0,2,6784449.0,0,49,0,3,20,23,26,0.999762306916736,1,49
72,4C4B-DDF9-2A69-4EC5-8AC3_2017-10-26 20:08:22,4C4B-DDF9-2A69-4EC5-8AC3,24255.0,1,2,2,2,1.1171468583889022,31,0,0,1,4,0,0,3,5,0,0,0,0,3,5,0,0,1,0,0,3,0,0,3,5,0,0,0,655718.0,0,32,0,0,1,1,31,0.9643294660229156,1,32
73,358C-2B54-D4F2-FA22-7AFD_2017-03-27 00:50:47,358C-2B54-D4F2-FA22-7AFD,36548.0,1,1,2,1,1.9250725246532912,0,0,0,80,5,6,3,0,5,3,3,2,2,4,2,0,4,2,2,7,3,6,5,3,1,6,4,2,1983263.0,1,80,0,0,26,26,54,0.9819052376682768,0,80
74,4CD3-CAA4-3AA3-49EA-9758_2017-10-21 13:59:38,4CD3-CAA4-3AA3-49EA-9758,335940.0,4,2,2,2,2.6581934449279867,299,0,0,84,38,25,2,3,41,24,20,6,6,2,36,23,17,18,2,0,2,8,19,3,41,24,19,4,6572947.0,0,383,0,2,40,42,341,0.9513756702056352,1,383
75,4EDF-5744-9534-4465-8D57_2017-05-25 03:34:27,4EDF-5744-9534-4465-8D57,21995.0,5,1,12,2,1.2455418912686116,0,1,0,30,0,0,2,4,2,0,0,0,0,0,0,0,2,0,2,1,0,3,2,0,0,12,0,1,6829763.0,0,31,0,3,7,10,21,0.9967898749488816,1,31
76,79FB-5CFE-9747-6794-DCA5_2017-02-20 08:55:08,79FB-5CFE-9747-6794-DCA5,2896.0,1,1,2,1,0.5442837329694393,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1388298.0,0,5,0,0,2,2,3,0.9979183348979366,0,5
80,D84E-FD79-9F67-4379-97CA_2017-10-19 22:31:54,D84E-FD79-9F67-4379-97CA,140026.0,2,2,3,2,1.212465860088887,43,0,0,6,0,10,0,0,0,10,1,0,0,2,0,10,0,1,0,1,0,2,0,0,0,11,1,0,919247.0,0,49,0,1,2,3,46,0.8678093371585984,1,49
82,3457-49CD-3643-95B7-DDB8_2017-01-28 01:08:31,3457-49CD-3643-95B7-DDB8,615570.0,2,1,1,1,0.9901000747284984,0,0,0,18,0,2,0,2,0,0,1,0,2,0,2,0,2,0,0,1,2,2,0,0,0,1,1,0,1615441.0,0,18,0,1,4,5,13,0.7240847310927647,1,18
83,455B-E86D-DA48-8DA7-6BE2_2017-10-20 08:51:25,455B-E86D-DA48-8DA7-6BE2,218942.0,2,2,2,2,1.258317895502333,22,0,0,4,0,0,1,4,0,0,0,0,1,4,0,0,0,0,1,1,5,2,2,4,0,0,1,0,471963.0,0,26,0,1,1,2,24,0.6831083868259746,1,26
87,5F94-2B3F-7B44-A4B9-4D43_2017-04-09 20:04:03,5F94-2B3F-7B44-A4B9-4D43,46727.0,1,1,3,1,0.3445982481028228,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,645968.0,0,4,0,0,2,2,2,0.9325431827860748,1,4
88,6682-7C2D-B4BA-4CAA-98A9_2017-09-10 17:10:13,6682-7C2D-B4BA-4CAA-98A9,3227.0,2,2,6,2,1.4690658597245607,29,0,0,12,5,0,4,0,4,0,2,0,4,2,3,0,0,0,0,4,0,3,4,1,3,2,0,0,645799.0,0,41,0,1,4,5,36,0.9950279341659656,0,41
89,9F68-CF42-B582-43B6-A488_2017-05-26 16:12:26,9F68-CF42-B582-43B6-A488,6094.0,2,1,6,2,1.6882550087131465,0,0,0,41,0,2,1,6,3,0,0,7,5,0,1,0,3,0,0,2,1,0,4,2,0,2,0,2,1095912.0,0,41,0,1,17,18,23,0.9944700845548936,1,41
90,438D-9A7F-CB7E-434C-A4F7_2017-05-25 17:12:39,438D-9A7F-CB7E-434C-A4F7,1183.0,2,1,2,2,1.608690737676295,0,0,0,35,4,0,2,0,0,0,3,0,1,1,0,1,1,2,0,2,3,0,0,6,3,5,1,0,2841354.0,0,35,0,1,18,19,16,0.9995838224797072,1,35
91,5C8C-F2E9-4F47-EBBD-EDCB_2017-08-29 23:35:50,5C8C-F2E9-4F47-EBBD-EDCB,1023.0,2,2,5,2,1.7684051657585256,66,0,0,25,3,0,0,16,4,2,0,0,3,14,4,0,0,0,0,2,16,0,0,12,5,6,0,4,1433429.0,0,91,0,1,11,12,79,0.9992868356696496,1,91
92,B588-3AB5-6DA2-4F69-3F97_2017-03-09 05:26:07,B588-3AB5-6DA2-4F69-3F97,3896.0,3,1,12,1,1.542538675316846,0,1,0,36,7,2,0,3,4,0,0,0,0,1,0,6,2,0,0,2,5,2,1,2,0,0,0,0,1302003.0,0,37,0,0,10,10,27,0.9970166146080208,1,37
93,438D-9A7F-CB7E-434C-A4F7_2017-02-23 00:44:09,438D-9A7F-CB7E-434C-A4F7,6906.0,1,1,3,1,0.7097131024243332,0,0,0,17,10,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2635939.0,0,17,0,0,8,8,9,0.9973869069128156,1,17
94,4F5A-28E9-E842-99DE-2A7E_2017-11-02 00:35:25,4F5A-28E9-E842-99DE-2A7E,46933.0,2,2,2,2,1.7902071717487151,147,0,2,19,1,5,0,2,2,9,37,0,0,0,2,7,31,33,0,0,0,2,0,0,0,6,31,0,3753845.0,0,167,1,1,8,9,159,0.987651738670346,1,168
95,3D39-B84A-A489-BB89-6F64_2017-04-19 08:07:46,3D39-B84A-A489-BB89-6F64,63226.0,2,1,3,2,0.97610557717795,0,0,0,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0,4,2,0,16880376.0,1,15,0,0,7,7,8,0.9962684439825724,1,15
96,D3BA-A5DD-44D6-4D83-4F86_2017-10-02 22:42:32,D3BA-A5DD-44D6-4D83-4F86,47714.0,1,2,2,2,1.535561718032636,79,0,0,25,0,9,2,1,2,0,21,2,2,0,0,0,19,21,0,1,2,0,2,2,0,0,18,0,1767068.0,0,104,0,0,12,12,92,0.9737081368450866,0,104
97,8A56-3676-C324-D33B-DBF5_2017-02-14 04:45:59,8A56-3676-C324-D33B-DBF5,495991.0,1,1,2,1,1.0924606245219648,0,0,0,19,0,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,4,2,0,0,2,2,443227.0,0,19,0,0,10,10,9,0.4719106746250604,0,19
98,783E-587A-BD34-CC6B-9822_2017-10-30 11:32:08,783E-587A-BD34-CC6B-9822,27647.0,2,2,2,2,2.751915969031121,194,0,2,385,44,8,26,36,40,16,18,8,20,20,42,12,21,6,23,24,24,20,28,30,57,24,14,20,4258245.0,0,580,1,1,190,191,390,0.993549300822326,1,581
99,96FD-63F5-9C48-6C87-74B8_2017-07-11 23:29:37,96FD-63F5-9C48-6C87-74B8,1264.0,3,1,3,2,1.05938459334224,0,0,0,16,0,0,2,0,2,0,1,0,0,0,0,3,0,1,3,0,1,2,0,1,0,0,0,0,5625243.0,0,16,0,2,4,6,10,0.9997753490753676,1,16
100,F3D4-9E59-F464-EE68-F92D_2017-10-22 19:02:12,F3D4-9E59-F464-EE68-F92D,10510.0,4,2,4,2,2.4961806749775364,316,0,0,25,3,39,3,0,4,42,31,2,3,0,10,43,32,31,1,3,0,7,5,0,4,44,34,0,9736703.0,0,341,0,3,8,11,330,0.9989217430664541,1,341
