,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
1818,E368-96AC-5A4C-6BDC-DB45_2016-12-15 06:25:03,E368-96AC-5A4C-6BDC-DB45,125853.0,2,1,1,1,0.7097131024243332,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,5,0,0,520889.0,0,12,0,0,3,3,9,0.8054046281206416,1,12
1819,F325-A8FC-B4DD-4582-9D3B_2017-10-10 15:20:39,F325-A8FC-B4DD-4582-9D3B,251361.0,5,2,2,3,1.9645838072262083,268,1,0,17,3,3,0,60,3,4,0,6,0,58,3,1,0,0,6,0,58,10,1,58,5,3,0,4,9196141.0,0,286,0,4,3,7,279,0.9733939193661986,0,286
1821,8FC4-3BBF-54BC-DA7C-6C59_2017-08-16 01:36:11,8FC4-3BBF-54BC-DA7C-6C59,1757.0,2,2,3,2,1.3721361080536076,33,0,2,8,0,2,0,2,0,0,1,7,2,0,0,0,4,2,7,0,0,6,0,0,2,0,2,6,1294947.0,0,42,1,1,3,4,39,0.99864502615863,1,43
1822,679B-76DF-86B4-7EFA-BF3E_2017-09-07 03:10:22,679B-76DF-86B4-7EFA-BF3E,1076.0,1,2,12,2,3.0047670352079603,70,0,0,1091,29,50,74,64,40,15,15,13,18,18,16,12,88,39,48,53,50,62,67,82,91,107,72,38,1556220.0,0,1161,0,0,545,545,616,0.9993090587788064,1,1161
1823,DF82-37E9-EAF4-2582-DB39_2017-11-06 16:08:06,DF82-37E9-EAF4-2582-DB39,6158.0,1,2,4,2,1.4847764102701833,30,0,0,18,0,2,2,0,0,0,0,8,1,2,0,0,0,0,7,2,0,10,4,1,0,2,0,7,666946.0,0,48,0,0,8,8,40,0.9908513394661153,1,48
1824,54B8-95A5-3C4E-4BA3-2F73_2017-10-26 15:52:00,54B8-95A5-3C4E-4BA3-2F73,427108.0,6,2,3,2,2.614589432947608,332,0,0,51,3,3,41,0,4,2,40,4,39,1,3,5,40,39,1,38,0,7,44,1,10,5,42,11,14515849.0,0,383,0,5,18,23,360,0.9714174376597616,1,383
1825,5788-78E2-334B-4BBE-6B7C_2016-12-29 14:55:23,5788-78E2-334B-4BBE-6B7C,1345.0,3,1,1,1,1.1389488643790917,0,1,0,19,0,0,0,0,2,0,1,2,2,3,0,0,0,0,0,0,0,3,0,0,4,1,2,0,1067090.0,0,20,0,0,6,6,14,0.998741149438197,1,20
1826,E3AC-86CD-A34D-DAEE-FF29_2017-04-02 06:06:53,E3AC-86CD-A34D-DAEE-FF29,12694.0,5,1,3,1,1.3114896151301971,0,1,0,23,1,0,0,2,3,0,0,1,0,1,1,0,2,0,0,0,1,2,2,0,3,5,0,0,9571057.0,0,24,0,1,6,7,17,0.9986754664222808,1,24
1827,32A3-B89E-4398-4ADA-DDFE_2017-09-19 13:32:28,32A3-B89E-4398-4ADA-DDFE,42380.0,3,2,4,2,1.7906302164465249,57,1,0,25,2,12,3,0,4,18,2,0,0,0,2,14,0,2,1,0,0,2,2,0,1,15,3,0,1317746.0,0,83,0,1,11,12,71,0.9688411220725138,0,83
1828,4DC5-3FC6-2D64-5759-737A_2017-08-25 05:07:24,4DC5-3FC6-2D64-5759-737A,8394.0,2,2,2,2,1.5461689475824745,21,0,0,15,3,1,2,1,3,0,0,3,0,0,3,0,1,0,2,0,6,4,0,1,2,0,1,3,3464311.0,0,36,0,0,6,6,30,0.9975828640785784,1,36
